Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
vikramskr,https://substack.com/@vikramskr,12000,,,,https://www.linkedin.com/in/vikramsekar/,,https://www.youtube.com/@ViksNewsletter,,,,,,https://www.viksnewsletter.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
globalsemiresearch,https://substack.com/@globalsemiresearch,2200,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
quantbeckman,https://substack.com/@quantbeckman,7200,,,,https://www.linkedin.com/in/quantbeckman,,,,,,,,https://www.quantbeckman.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
luisllorens,https://substack.com/@luisllorens,9800,https://twitter.com/lluisllorensg?lang=en,,,https://www.linkedin.com/in/luisllorensgonzalez/,,,,,,,,,2026-01-22 01:51:31,Technology
adaptiveeconomy,https://substack.com/@adaptiveeconomy,14000,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
christottman,https://substack.com/@christottman,46000,,,,,,,,,,,,https://www.the-founders-corner.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
andrewmiller214368,https://substack.com/@andrewmiller214368,1200,,,,,,,,,,,,https://www.changinglanesnewsletter.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
chipstrat,https://substack.com/@chipstrat,8400,,,,https://www.linkedin.com/in/austinlyons/,,,,,,,,https://www.chipstrat.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
migueloteropedrido,https://substack.com/@migueloteropedrido,12000,,,,https://www.linkedin.com/in/migueloteropedrido/,,,,,,,,,2026-01-22 01:51:31,Technology
briitoeknee,https://substack.com/@briitoeknee,45,,https://instagram.com/brii_toe_knee,,,,,,,,,,https://Brittneyball.com,2026-01-22 01:51:31,Technology
importai,https://substack.com/@importai,99000,https://twitter.com/jackclarkSF,,,,,,,,,,,,2026-01-22 01:51:31,Technology
aicodingdaily,https://substack.com/@aicodingdaily,966,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
yzyz,https://substack.com/@yzyz,17000,https://twitter.com/ayz_yzyz,,,,,,,,,,,,2026-01-22 01:51:31,Technology
gencay,https://substack.com/@gencay,4500,https://x.com/learnaiwthme,,,,,,,,,,,https://www.learnwithmeai.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
